cache-references,cycles,LLC-loads
185485912.0,4777781209.0,6799597.0
180036348.0,4746478433.0,6569862.0
177718883.0,4730913259.0,6399674.0
180757032.0,4773119371.0,6556170.0
185112484.0,4769704191.0,6848304.0
174269227.0,4718690312.0,6344291.0
176788163.0,4747378070.0,6497329.0
186864595.0,4815822637.0,6759312.0
171943816.0,4713060513.0,6073804.0
176148327.0,4755135781.0,6291834.0
185763877.0,4773394186.0,6771251.0
173769597.0,4758239482.0,6021246.0
184427734.0,4769906167.0,6867303.0
184011594.0,4778012291.0,6708694.0
186235560.0,4795959413.0,6635316.0
183016379.0,4782601671.0,6740145.0
173980123.0,4717958323.0,6131395.0
186101116.0,4775070418.0,6784242.0
187691490.0,4774054603.0,6883408.0
187405592.0,4819182315.0,6821363.0
180960876.0,4755471795.0,6690393.0
183243123.0,4778857135.0,6684273.0
181583079.0,4770536168.0,6621007.0
174071811.0,4746264159.0,6171303.0
174916078.0,4768214144.0,6232207.0
178037354.0,4740420531.0,6386574.0
186330769.0,4797299981.0,6847986.0
188878636.0,4793201669.0,6949148.0
184118448.0,4789404164.0,6717886.0
185520173.0,4780815145.0,6730390.0
171692803.0,4733078431.0,6211306.0
180900163.0,4761221531.0,6517636.0
185021602.0,4751314370.0,6647590.0
188219894.0,4781201032.0,6854917.0
185118739.0,4763034621.0,6688227.0
176904673.0,4734136730.0,6169296.0
178630223.0,4773980132.0,6311690.0
184833055.0,4782287644.0,6610650.0
178424404.0,4734962749.0,6327107.0
186242889.0,4778495864.0,6828389.0
181307855.0,4739183609.0,6496539.0
172987275.0,4779374886.0,6214564.0
175247184.0,4748326605.0,6324116.0
187112449.0,4755453547.0,6687733.0
185714495.0,4790811660.0,6866217.0
176768833.0,4783213651.0,6325682.0
180964861.0,4750654334.0,6765079.0
184318964.0,4756012942.0,6472471.0
187191217.0,4797163375.0,6915046.0
182505095.0,4755516806.0,6476501.0
189481225.0,4821376216.0,6939376.0
172568007.0,4764422992.0,6195114.0
186135306.0,4796227207.0,6761146.0
186110877.0,4755205730.0,6514044.0
176315453.0,4746160894.0,6286451.0
186593236.0,4779804984.0,6888195.0
176805262.0,4763202109.0,6383631.0
185859694.0,4783406041.0,6793273.0
175993351.0,4758727675.0,6088050.0
171687816.0,4725327349.0,6141784.0
186997210.0,4769262336.0,6812282.0
175286096.0,4752064267.0,6243210.0
187525663.0,4779475118.0,6823261.0
182522229.0,4775556262.0,6653124.0
187401410.0,4788802547.0,6790023.0
183601716.0,4773648297.0,6619844.0
185138464.0,4746572074.0,6727961.0
179514490.0,4787749583.0,6518579.0
185979137.0,4819982393.0,6713278.0
184731520.0,4768577999.0,6753694.0
180772595.0,4749410193.0,6510879.0
174507397.0,4737356864.0,6205808.0
187912327.0,4754482142.0,6733824.0
185840387.0,4780182255.0,6850897.0
187594501.0,4744398269.0,6808616.0
184534008.0,4767260942.0,6610334.0
182540572.0,4795897854.0,6610661.0
173836095.0,4725492770.0,6049313.0
182598427.0,4771902743.0,6705369.0
184843313.0,4790387509.0,6528727.0
185402214.0,4811876327.0,6705280.0
185216790.0,4779749159.0,6647809.0
181706896.0,4753644454.0,6645019.0
184703380.0,4755970033.0,6697959.0
184592313.0,4756918355.0,6594641.0
174773521.0,4760350298.0,6432475.0
184034722.0,4791173282.0,6657657.0
183625067.0,4803145587.0,6607935.0
187179375.0,4767312025.0,6855232.0
184686665.0,4777737866.0,6673655.0
184722218.0,4750294367.0,6777232.0
186135413.0,4816825241.0,6822118.0
188251328.0,4802607889.0,6805164.0
173950191.0,4764557537.0,6115678.0
183191604.0,4799108287.0,6620400.0
174877658.0,4794352533.0,6176647.0
182620745.0,4772873480.0,6747708.0
187542391.0,4786690484.0,6852727.0
185820781.0,4756391647.0,6995802.0
176136309.0,4763068767.0,6292633.0
180195938.0,4759049329.0,6530444.0
187723177.0,4756600553.0,6656418.0
174846334.0,4735883793.0,6215382.0
182274114.0,4787336602.0,6588643.0
186261242.0,4773201900.0,6731262.0
182064708.0,4780754880.0,6670576.0
187024741.0,4762207214.0,6863736.0
187263007.0,4737860667.0,6945180.0
184866897.0,4793324099.0,6687884.0
175359165.0,4757905052.0,6237337.0
175507450.0,4758807392.0,6179757.0
173749565.0,4746636242.0,6085657.0
187428006.0,4807530641.0,6906741.0
187254855.0,4783971163.0,6999473.0
175579304.0,4758141216.0,6340861.0
185665292.0,4787654931.0,6760407.0
184815229.0,4795490374.0,6746081.0
181565209.0,4773438918.0,6658643.0
175419810.0,4746501294.0,6026271.0
188090533.0,4809008735.0,6817337.0
177552840.0,4744405869.0,6417118.0
181702532.0,4756820561.0,6555223.0
185509759.0,4765711649.0,6762880.0
179500868.0,4749484803.0,6331219.0
180351802.0,4757976174.0,6702377.0
